,company_name,job_title,location,state,est_salary,min_salary,max_salary,rating,sector,industry,job_age,job_description
0,Apisero,Data Scientist,Remote,Remote,70-75,145600.0,156000.0,4.3,Information Technology,Information Technology Support Services,4d,"We're Hiring Data scientists for our Internal client's projects
Contract - Remote
- A/b testing
- Statistics
- Python, R Programming
- Timer series and Forecasting
Job Type: Contract
Salary: $70.00 - $75.00 per hour"
1,MARS,Graduate Data Scientist - Role Can be Remote,"Franklin, TN",TN,66000-140000,66000.0,140000.0,4.2,Manufacturing,Food & Beverage Manufacturing,30d+,"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement."
2,Snowflake,Data Scientist,"San Mateo, CA",CA,101000-207000,101000.0,207000.0,4.3,Information Technology,Enterprise Software & Network Solutions,9d,"There is only one Data Cloud. Snowflake’s founders started from scratch and designed a data platform built for the cloud that is effective, affordable, and accessible to all data users. But it didn’t stop there. They engineered Snowflake to power the Data Cloud, where thousands of organizations unlock the value of their data with near-unlimited scale, concurrency, and performance. This is our vision: a world with endless insights to tackle the challenges and opportunities of today and reveal the possibilities of tomorrow.
Snowflake started with a clear vision: develop a cloud data platform that is effective, affordable, and accessible to all data users. Snowflake developed an innovative new product with a built-for-the-cloud architecture that combines the power of data warehousing, the flexibility of big data platforms, and the elasticity of the cloud at a fraction of the cost of traditional solutions. We are now a global, world-class organization with offices in more than a dozen countries and serving many more.
We’re looking for a talented Data Scientist to come aboard the Streamlit Data Science team. In this role, you will work closely with our Product and Engineering teams to uncover insights about how customers use Streamlit and Snowflake, helping to inform Product’s decision making and focus Engineering efforts. You will also work on long-running analytical initiatives marked by greater complexity and less structure that will yield substantial product enhancements. This is a strategic, high-impact role that will help shape the future of Snowflake products and services."
3,Databricks,Data Scientist,Remote,Remote,,80249.21,153461.99,Not given,Not given,Not given,11d,"Mission
The Machine Learning (ML) Practice team is a highly specialized customer-facing data science team at Databricks. We deliver professional services engagements to help our customers build, scale, and optimize ML pipelines, as well as teach courses on distributed ML & deep learning (DL). We work cross-functionally to shape long-term strategic priorities and initiatives alongside engineering, product, and developer relations, as well as support internal subject matter expert (SME) teams. We view our team as an ensemble - we look for individuals with strong, unique specializations to improve the overall strength of the team. This team is the right fit for you if you love working with customers, teammates, and fueling your curiosity for machine learning.
The impact you will have:
Build and optimize customer data science workloads and apply best in class MLOps to production for workloads across a variety of domains"
4,PUMA,"CO-OP, DATA SCIENCE","Somerville, MA",MA,67000-166000,67000.0,166000.0,4.0,Retail & Wholesale,"Department, Clothing & Shoe Stores",30d+,"INTERNS
CO-OP, DATA SCIENCE
Somerville, Massachusetts, United States of America

SPEED & SPIRIT is what we look for in our candidates, defined by some simple values that inspire us to BE DRIVEN in our performance, BE VIBRANT in our sporting legacy, BE TOGETHER in our team spirit, and BE YOU to let our individual talent and experience shine. Applying for a job at PUMA is easy and all genders are welcome. Simply click APPLY ONLINE and follow the steps to upload your application.
YOUR MISSION"
5,Ayasdi,Data Scientist,"Houston, TX",TX,84000-177000,84000.0,177000.0,3.9,Information Technology,Enterprise Software & Network Solutions,,"This is a fully remote role

Ayasdi is breaking new ground in enterprise AI and is looking for data scientists to join our teams in UK or US (remote). We have a unique approach combining advanced unsupervised and supervised, and semi-supervised techniques to solve hard problems in Anti Money Laundering, Fraud, Trade Surveillance, and other FinCrime. You will learn and apply cutting-edge machine learning techniques developed by Ayasdi. Additionally, you will be contributing to the further advancement of Ayasdi technology through rigorous research and development. As part of a growing team, you will deploy our technology to help our customers solve their biggest and most impactful problems whether it be discovering the sinister Unknown Unknown’s evading their detection systems or reducing the False Positive rate of existing surveillance systems. We combine the rapid agility of a start-up with the financial backing of the world’s largest private AI fund (Symphony AI). At Ayasdi your contribution will make a difference to the world. Join us now."
6,sourcemantra,Data Scientist,"Redmond, WA",WA,63000-123000,63000.0,123000.0,3.7,Financial Services,Accounting & Tax,24d,"Hi,
Hope you are doing good!!!
Role: Data Scientist
Location: Redmond,WA
Duration: Long Term
We are looking for a dedicated Data Scientist to support ML Ops, build ML models for efficient pattern, or anomaly detection for support issues.
? Building tools to automate data collection
? Searching through large data sets for usable information
? Correlating similar data to find actionable results
? Develop and assess AI algorithms, based on large and complex data sets, across multiple projects and product lines, to meet customer requirements.
? Utilize Machine Learning and NLP techniques to drive innovation
? Creating reports and presentations for business uses
? Development and assessment of high-quality AI-based solutions that take account of aspects such as transparency, accountability and trustworthiness."
7,Oscar Health,Data Scientist,"New York, NY",NY,95000-175000,95000.0,175000.0,3.6,Insurance,Insurance Agencies & Brokerages,1d,"Hi, we're Oscar. We're hiring Data Scientists to join our team.
Oscar is the first health insurance company built around a full stack technology platform and a relentless focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.
Oscar is restructuring health care to make it easy, affordable, and seamless for consumers to access high value care. Oscar's data team is focused on pushing our understanding of this complex landscape. Insurance companies sit on a trove of data that is both broad and deep, spanning financial claims, clinical medical records, and rich product interaction data from our members. Connecting the dots across these datasets gives us unique insight into how the healthcare system functions and allows us to improve care coordination, better manage risk, build higher-performing provider networks, and create a standout consumer experience in our product. At Oscar, we are looking for bright and curious data minded individuals to join our team of 40+ researchers, data scientists, and analysts to leverage our efforts!"
8,Harley-Davidson,Data Scientist - Remote,"Milwaukee, WI",WI,67000-123000,67000.0,123000.0,3.5,Manufacturing,Transportation Equipment Manufacturing,24h,"Auto req ID: 17681
Title: Data Scientist - Remote
Job Function: Product Management
Location: Remote
Company: Harley-Davidson Motor Company
Full or Part-Time: Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?

We maximize employee flexibility and well-being through a virtual mindset that supports our highly distributed, global workforce. We take an outcome-focused, people-centered approach to winning, including welcoming the best talent - wherever they may be."
9,World Bank Group,Junior Data Scientist,"Washington, DC",DC,63000-117000,63000.0,117000.0,4.1,Not given,Not given,9d,"Job #:
req17684

Organization:
World Bank

Sector:
Economics

Grade:
GE

Term Duration:"
